zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
95322,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95324,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95333,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95334,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95340,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95341,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95343,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95344,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95348,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95365,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95369,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95374,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95388,Merced,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
95307,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95313,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95316,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95350,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95351,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95353,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95354,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95355,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95356,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95357,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95358,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95360,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95361,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95363,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95367,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95368,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95380,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95385,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95386,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
95387,Stanislaus,"$57,400 ","$65,600 ","$73,800 ","$82,000 ","$88,600 ","$95,150 ","$101,700 ","$108,250 "
